,Processor Time,LogBytesFlushedSec,DiskWrites,DiskReads,CPU-DTU-Value,CPU-True-DTU-Value,CPU-DTU-Name,IOP-DTU-Value,IOP-True-DTU-Value,IOP-DTU-Name,LogBytes-DTU-Value,LogBytes-True-DTU-Value,LogBytes-DTU-Name
0,13.28172695,123040.2493,237.3090746,377.4916503,400,212.507629,Standard - S6,800,424.102661,Standard - S7,5,2.34680653,Basic
1,12.01694252,127577.518,171.3692574,154.626284,200,192.271088,Standard - S4,400,219.276276,Standard - S6,5,2.433348,Basic
2,24.61487246,63496.55975,122.0481989,90.55188953,400,393.837952,Standard - S6,200,138.853973,Standard - S4,5,1.2111007,Basic
3,24.32648224,65565.38836,302.4124734,237.3987169,400,389.223724,Standard - S6,400,370.918549,Standard - S6,5,1.25056052,Basic
4,17.01934068,1209929.846,219.5754847,341.6712699,400,272.309448,Standard - S6,400,386.121124,Standard - S6,100,81.40588,Standard - S3
5,24.90326819,373992.7421,91.55293183,227.4056694,400,398.4523,Standard - S6,400,214.285553,Standard - S6,10,-22.7197285,Standard - S0
6,25.68328787,124929.8144,778.0112994,386.0056061,800,410.932648,Standard - S7,1600,813.6176,Standard - S9,5,2.382847,Basic
7,24.9996475,61441.49599,110.0026784,267.0065011,400,399.994354,Standard - S6,400,255.456161,Standard - S6,5,1.17190349,Basic
8,24.707158,61441.62722,107.0028339,405.0107263,400,395.3145,Standard - S6,400,351.203949,Standard - S6,5,1.171906,Basic
9,24.99924184,60495.95794,91.57103009,415.5158569,400,399.987885,Standard - S6,400,347.709869,Standard - S6,5,1.15386879,Basic
10,26.36762443,614398.9502,2116.996383,288.9995062,800,421.882019,Standard - S7,3000,1694.45386,Standard - S12,10,7.225636,Standard - S0
11,27.88358332,665424.751,1306.549841,962.9282174,800,446.137329,Standard - S7,1600,1597.63269,Standard - S9,20,13.58149,Standard - S1
12,28.61356841,368614.8067,49.99658295,1095.925098,800,457.817139,Standard - S7,1600,800.7842,Standard - S9,10,-23.3896141,Standard - S0
13,28.3646897,423496.8207,79.76014342,842.8973181,800,453.835022,Standard - S7,800,642.4408,Standard - S7,10,-16.5534267,Standard - S0
14,29.10149619,491515.5909,157.9985827,752.9932454,800,465.623962,Standard - S7,800,634.167236,Standard - S7,10,-8.080903,Standard - S0
15,32.70792146,218465.8548,170.6764491,384.0220104,800,523.3267,Standard - S7,400,381.476959,Standard - S6,5,4.1669054,Basic
16,29.00350952,122824.1765,100.9541164,430.8041998,800,464.056152,Standard - S7,400,365.2073,Standard - S6,5,2.34268522,Basic
17,25.19498834,61461.76462,95.03365298,319.1130032,800,403.1198,Standard - S7,400,281.7948,Standard - S6,5,1.17229009,Basic
18,27.11509059,60501.1236,107.3343501,339.727989,800,433.841461,Standard - S7,400,305.139252,Standard - S6,5,1.15396738,Basic
19,22.95129261,61436.29971,118.9928331,455.9725369,400,367.220673,Standard - S6,400,395.850647,Standard - S6,5,1.17180443,Basic
20,23.74797668,60499.44403,144.7496464,276.6983036,400,379.967621,Standard - S6,400,286.973022,Standard - S6,5,1.15393531,Basic
21,16.02024728,186850.1492,237.9619836,1140.817745,400,256.323944,Standard - S6,1600,965.931763,Standard - S9,5,3.56388378,Basic
22,13.84144561,180478.0897,244.1873595,224.4948305,400,221.463135,Standard - S6,400,320.472473,Standard - S6,5,3.44234633,Basic
23,13.38305029,184299.1378,270.9693269,100.9885683,400,214.1288,Standard - S6,400,251.873688,Standard - S6,5,3.515227,Basic
24,15.37909966,1353290.435,185.1383501,812.4422278,400,246.0656,Standard - S6,800,695.5777,Standard - S7,100,99.26309,Standard - S3
25,16.9934019,122880.8923,119.0008642,680.004938,400,271.89444,Standard - S6,800,554.744568,Standard - S7,5,2.343767,Basic
26,15.76858724,59989.95782,144.7368008,695.1304855,400,252.2974,Standard - S6,800,583.724365,Standard - S7,5,1.14421761,Basic
27,15.96087068,60494.45676,111.2609638,1153.96327,400,255.373932,Standard - S6,1600,885.395935,Standard - S9,5,1.15384018,Basic
28,16.63430224,60493.43904,132.9201542,1022.99289,400,266.148834,Standard - S6,1600,807.8703,Standard - S9,5,1.15382075,Basic
29,15.72255044,112142.0355,89.01114047,1015.127051,400,251.5608,Standard - S6,800,771.1505,Standard - S7,5,2.13893962,Basic
30,16.89438872,61436.69334,87.99526389,962.9481719,400,270.3102,Standard - S6,800,733.423767,Standard - S7,5,1.17181182,Basic
31,16.31288315,122357.9126,75.99373492,901.9256434,400,261.006134,Standard - S6,800,681.6336,Standard - S7,5,2.333792,Basic
32,18.07089398,120996.5469,87.63584536,1491.778716,400,289.1343,Standard - S6,1600,1108.226,Standard - S9,5,2.307826,Basic
33,14.35598386,70655.06439,42.9994306,1237.983607,400,229.695755,Standard - S6,1600,896.5724,Standard - S9,5,1.34763837,Basic
34,18.16797975,500199.2148,59.99702711,866.9570417,400,290.687683,Standard - S6,800,645.488,Standard - S7,10,-6.999257,Standard - S0
35,16.21147625,122884.8292,88.00345843,902.0354489,400,259.3836,Standard - S6,800,690.229065,Standard - S7,5,2.343842,Basic
36,15.86428988,120970.4446,101.3993798,881.0916984,400,253.828644,Standard - S6,800,684.876,Standard - S7,5,2.307328,Basic
37,17.30215859,121005.0466,79.76406883,545.5468411,400,276.834534,Standard - S6,800,431.556671,Standard - S7,5,2.30798817,Basic
38,16.50876084,60929.11914,69.00126741,551.0101209,400,264.140167,Standard - S6,800,427.7982,Standard - S7,5,1.16213071,Basic
39,20.48019644,120985.0972,118.1495089,1603.879584,400,327.683136,Standard - S6,1600,1209.37109,Standard - S9,5,2.30760741,Basic
40,17.68978723,120988.2011,99.44505462,758.1454659,400,283.0366,Standard - S6,800,596.294,Standard - S7,5,2.30766678,Basic
41,17.28830304,61441.65346,74.00199148,571.0153667,400,276.612854,Standard - S6,800,445.532928,Standard - S7,5,1.17190647,Basic
42,16.63044414,125027.1884,157.5443402,626.2387522,400,266.0871,Standard - S6,800,543.9483,Standard - S7,5,2.38470435,Basic
43,16.70185222,122868.5583,106.990037,1176.890407,400,267.229645,Standard - S6,1600,898.627258,Standard - S9,5,2.34353161,Basic
44,16.11277668,604728.5713,98.00916859,1303.121905,400,257.8044,Standard - S6,1600,981.7838,Standard - S9,10,6.021079,Standard - S0
45,14.41883245,60489.92821,80.73200054,959.9231771,400,230.701324,Standard - S6,800,726.1271,Standard - S7,5,1.15375388,Basic
46,19.04265236,61446.14189,91.00909687,481.0480835,400,304.682434,Standard - S6,400,393.7881,Standard - S6,5,1.17199206,Basic
47,16.01602472,122882.572,158.0033071,690.0144426,400,256.2564,Standard - S6,800,589.5048,Standard - S7,5,2.34379888,Basic
48,15.82311309,61432.23253,167.9787608,283.9640957,400,253.16983,Standard - S6,400,308.600616,Standard - S6,5,1.17172682,Basic
49,16.34199989,120992.6792,270.7762596,510.0440091,400,261.472,Standard - S6,800,541.847,Standard - S7,5,2.30775213,Basic
50,14.55053365,125445.2514,193.0080797,297.0124335,400,232.808548,Standard - S6,400,335.606049,Standard - S6,5,2.39267826,Basic
51,14.84357117,184316.6145,160.9970428,332.9938836,400,237.497131,Standard - S6,400,338.421936,Standard - S6,5,3.51556039,Basic
52,15.14051171,122879.5276,154.9994041,479.9981547,400,242.248184,Standard - S6,800,438.426636,Standard - S7,5,2.343741,Basic
53,14.94108678,184303.7034,138.9877104,217.9807256,400,239.0574,Standard - S6,400,241.242874,Standard - S6,5,3.515314,Basic
54,14.80389823,581789.5275,150.6543099,224.5044619,400,236.862366,Standard - S6,400,254.1438,Standard - S6,10,3.16375422,Standard - S0
55,15.47949133,120989.2188,218.5840379,279.6300305,400,247.67186,Standard - S6,400,341.417084,Standard - S6,5,2.307686,Basic
56,15.82005746,184331.6534,164.0103687,353.022318,400,253.120926,Standard - S6,400,354.763641,Standard - S6,5,3.51584721,Basic
57,15.43030736,183792.5337,125.9893979,273.9769446,400,246.884918,Standard - S6,400,271.737854,Standard - S6,5,3.50556421,Basic
58,15.92113137,122879.8425,97.99987441,279.9996412,400,254.7381,Standard - S6,400,256.158539,Standard - S6,5,2.343747,Basic
59,17.20572728,181520.2449,166.4329503,250.1418306,400,275.291626,Standard - S6,400,283.516876,Standard - S6,5,3.462224,Basic
60,18.45657336,184289.2987,294.9508633,348.9418688,400,295.305176,Standard - S6,800,444.73526,Standard - S7,5,3.51503944,Basic
61,17.48146022,183815.1452,230.0089408,390.0151605,400,279.703369,Standard - S6,800,427.8072,Standard - S7,5,3.50599551,Basic
62,15.43303731,122870.0803,215.982563,268.9782845,400,246.928589,Standard - S6,400,332.0176,Standard - S6,5,2.3435607,Basic
63,15.9562366,293397.0047,174.2753632,173.2907566,400,255.299789,Standard - S6,400,234.574539,Standard - S6,10,-32.75886,Standard - S0
64,17.38799803,1347913.479,260.9646628,214.9708908,400,278.207977,Standard - S6,400,325.6167,Standard - S6,100,98.59334,Standard - S3
65,19.32221618,181517.0378,160.521252,427.4001434,400,309.155457,Standard - S6,800,405.039276,Standard - S7,5,3.46216249,Basic
66,23.86251161,164724.3749,486.4671745,316.8820041,400,381.800171,Standard - S6,800,557.824951,Standard - S7,5,3.141868,Basic
67,22.85214632,245939.4352,166.1212005,374.2730662,400,365.634338,Standard - S6,400,371.332123,Standard - S6,5,4.69092226,Basic
68,21.92199572,120987.4378,141.7821537,295.3794869,400,350.751923,Standard - S6,400,298.117462,Standard - S6,5,2.30765224,Basic
69,20.50931442,245744.2541,193.9875704,270.982637,400,328.149017,Standard - S6,400,317.839874,Standard - S6,5,4.68719959,Basic
70,17.2857869,122362.1459,116.9944028,299.9856481,400,276.5726,Standard - S6,400,283.8043,Standard - S6,5,2.3338728,Basic
71,17.79085309,181451.1649,120.10114,344.5524507,400,284.653656,Standard - S6,400,317.615326,Standard - S6,5,3.46090651,Basic
72,15.57287227,242506.7323,197.9268987,204.8198753,400,249.16597,Standard - S6,400,273.709778,Standard - S6,5,4.6254487,Basic
73,24.32453749,41345.47794,90.6007996,217.6388773,400,389.1926,Standard - S6,400,206.683472,Standard - S6,5,0.788602352,Basic
74,24.9998725,1191400.59,318.993732,183.9963846,400,399.997955,Standard - S6,400,344.804352,Standard - S6,100,79.0978546,Standard - S3
75,20.9960289,61441.1023,64.00114823,236.0042341,400,335.936462,Standard - S6,400,200.843536,Standard - S6,5,1.171896,Basic
76,23.07634745,60488.35101,53.16358975,762.995964,400,369.221558,Standard - S6,800,566.910339,Standard - S7,5,1.15372372,Basic
77,25.0957101,60500.84367,104.3797108,196.9428505,800,401.531372,Standard - S7,400,201.77771,Standard - S6,5,1.153962,Basic
78,24.9999025,61437.42812,76.99677678,240.9899117,400,399.998444,Standard - S6,400,213.596237,Standard - S6,5,1.171826,Basic
79,24.70680412,122877.2706,128.9971347,94.99788987,400,395.308868,Standard - S6,200,146.935486,Standard - S4,5,2.343698,Basic
80,24.90378823,120487.1241,116.1862631,83.69349461,400,398.4606,Standard - S6,200,129.832458,Standard - S4,5,2.29810953,Basic
81,24.9992123,67049.0663,63.01603976,108.3088183,400,399.9874,Standard - S6,200,109.580757,Standard - S4,5,1.27885938,Basic
82,25.19524268,982983.7344,3209.816272,147.991529,800,403.12384,Standard - S7,3000,2369.49756,Standard - S12,100,53.1371269,Standard - S3
83,26.70406942,359488.1526,143.5283758,795.224785,800,427.2651,Standard - S7,800,653.85614,Standard - S7,10,-24.5264435,Standard - S0
84,27.53903102,781813.3133,75.99896116,709.990295,800,440.624481,Standard - S7,800,545.512939,Standard - S7,50,28.07903,Standard - S2
85,28.07631621,362963.3821,65.96827962,719.7434687,800,449.2211,Standard - S7,800,545.316162,Standard - S7,10,-24.093565,Standard - S0
86,30.37073793,409108.0968,70.00343881,754.0370409,800,485.931763,Standard - S7,800,572.499634,Standard - S7,10,-18.3457088,Standard - S0
87,28.61303728,368105.6719,77.99526905,724.9560264,800,457.8086,Standard - S7,800,557.5428,Standard - S7,10,-23.4530315,Standard - S0
88,26.9529666,61437.63806,47.99815474,328.9873523,800,431.247467,Standard - S7,400,255.439392,Standard - S6,5,1.17182994,Basic
89,24.8042689,61440.94483,33.00050748,31.00047672,400,396.868317,Standard - S6,50,33.4645271,Standard - S2,5,1.171893,Basic
90,25.19495842,61440.55115,46.00041264,84.00075352,800,403.119324,Standard - S7,100,80.27316,Standard - S3,5,1.17188549,Basic
91,24.80447193,88067.83715,68.00296292,93.00405223,400,396.871552,Standard - S6,200,102.263138,Standard - S4,5,1.67976069,Basic
92,24.90346894,122880,141,91,400,398.4555,Standard - S6,200,152.612762,Standard - S4,5,2.34375,Basic
93,25.28685416,181477.0351,136.8560541,114.2108077,800,404.589661,Standard - S7,200,166.135376,Standard - S4,5,3.46139956,Basic
94,17.77344,521016.9269,156.7860217,1422.059203,400,284.375031,Standard - S6,1600,1107.82214,Standard - S9,10,-4.40617,Standard - S0
95,18.26127044,246090.8138,230.3095995,1435.930286,400,292.180328,Standard - S6,1600,1169.8042,Standard - S9,5,4.69380951,Basic
96,20.70264422,307155.128,150.9779438,659.9035953,400,331.2423,Standard - S6,800,563.1671,Standard - S7,10,-31.045126,Standard - S0
97,13.67181094,512611.1923,525.1016092,164.0317408,400,218.748978,Standard - S6,800,476.820831,Standard - S7,10,-5.453203,Standard - S0
98,13.96465072,368620.7898,553.9711306,199.9895778,400,223.434418,Standard - S6,800,522.797668,Standard - S7,10,-23.38887,Standard - S0
99,17.58290843,245752.0218,459.9850669,112.9963317,400,281.326538,Standard - S6,400,394.443542,Standard - S6,5,4.68734741,Basic
100,16.53362593,184508.5587,195.9379439,94.52282721,400,264.538025,Standard - S6,200,194.0743,Standard - S4,5,3.51922154,Basic
101,17.2849863,183825.9033,276.026883,90.0087662,400,276.559784,Standard - S6,400,247.673508,Standard - S6,5,3.50620079,Basic
102,17.69140812,109385.2175,192.9678736,89.59222701,400,283.062531,Standard - S6,200,188.471008,Standard - S4,5,2.08635736,Basic
103,17.9808979,170407.6275,140.8115912,51.20421499,400,287.694366,Standard - S6,200,124.255188,Standard - S4,5,3.25026751,Basic
104,13.96521995,1282460.297,176.9862405,89.99300365,400,223.443512,Standard - S6,200,177.420746,Standard - S4,100,90.4403839,Standard - S3
105,13.46167839,181437.5078,216.5595254,78.74891831,400,215.386871,Standard - S6,200,197.512375,Standard - S4,5,3.46064568,Basic
106,11.23342593,184366.3862,283.0712201,149.0374975,200,179.734818,Standard - S4,400,294.533844,Standard - S6,5,3.51650977,Basic
107,8.593713437,122879.2652,101.99939,46.99971893,200,137.49942,Standard - S4,100,93.7468948,Standard - S3,5,2.343736,Basic
108,11.91845065,181485.0495,336.739838,103.385038,200,190.6952,Standard - S4,400,300.219055,Standard - S6,5,3.46155262,Basic
109,12.79375486,245763.7793,300.0046134,141.0021683,400,204.700058,Standard - S6,400,300.844543,Standard - S6,5,4.687572,Basic
110,10.03512835,178725.1759,318.0439328,121.2057671,200,160.562057,Standard - S4,400,299.598358,Standard - S6,5,3.40891218,Basic
111,12.20747774,203268.4282,335.0072982,101.0022004,200,195.319641,Standard - S4,400,297.300354,Standard - S6,5,3.87703753,Basic
112,12.50411231,61437.37564,162.9930376,51.99777886,400,200.0658,Standard - S6,200,140.549515,Standard - S4,5,1.17182493,Basic
113,15.23389531,122870.5001,108.9915732,47.99628911,400,243.742325,Standard - S6,100,99.41267,Standard - S3,5,2.3435688,Basic
114,18.55427177,1267616.91,126.0557787,64.01270011,400,296.868347,Standard - S6,200,122.8741,Standard - S4,100,88.59147,Standard - S3
115,15.38739797,155725.8723,128.944739,66.93314699,400,246.198364,Standard - S6,200,126.99424,Standard - S4,5,2.97023535,Basic
116,12.30359945,181532.0052,1076.467457,113.2605284,200,196.85759,Standard - S4,1600,831.8524,Standard - S9,5,3.46244812,Basic
117,12.30439183,306701.4941,301.0132439,131.0057639,200,196.87027,Standard - S4,400,294.4702,Standard - S6,10,-31.1016312,Standard - S0
118,12.20650324,306679.2229,315.9909564,114.9967088,200,195.304047,Standard - S4,400,293.73877,Standard - S6,10,-31.1044064,Standard - S0
119,12.11312277,184316.9294,216.996385,139.9976677,200,193.809967,Standard - S4,400,241.261032,Standard - S6,5,3.51556635,Basic
120,12.6876187,241973.9597,259.9329645,173.288643,400,203.001877,Standard - S6,400,295.323151,Standard - S6,5,4.615287,Basic
121,12.4029707,245769.0285,325.0119396,114.004188,200,198.447525,Standard - S4,400,299.4327,Standard - S6,5,4.687672,Basic
122,12.50011938,241379.4618,318.2248764,118.8432409,400,200.0019,Standard - S6,400,298.051147,Standard - S6,5,4.603948,Basic
123,12.59445844,571593.7897,288.2290744,153.9853959,400,201.511337,Standard - S6,400,301.70105,Standard - S6,10,1.89376366,Standard - S0
124,15.38365727,17131819.9,660.5682142,156.5280865,400,246.138519,Standard - S6,800,567.5747,Standard - S7,3000,2064.66113,Standard - S12
125,20.19178073,42473843.35,1021.202803,101.4309438,400,323.068481,Standard - S6,800,784.267944,Standard - S7,1750,1687.75891,Premium - P11
126,17.96871719,37652675.7,1194.632584,178.9449644,400,287.499481,Standard - S6,1600,962.242249,Standard - S9,1750,1496.18286,Premium - P11
127,17.11565963,37427999.1,909.7818293,191.999412,400,273.850555,Standard - S6,800,769.478943,Standard - S7,1750,1487.25513,Premium - P11
128,16.9922232,52381223.41,1040.32618,128.0401452,400,271.87558,Standard - S6,1600,816.7024,Standard - S9,4000,2081.44287,Premium - P15
129,17.59459231,49949789.98,1147.094638,107.3247344,400,281.5135,Standard - S6,1600,877.732849,Standard - S9,4000,1984.82617,Premium - P15
130,17.58024819,39597946,984.9457258,91.99493073,400,281.283966,Standard - S6,800,751.8615,Standard - S7,1750,1573.481,Premium - P11
131,18.93975244,46272837.13,1055.424558,70.88672405,400,303.036041,Standard - S6,800,786.8761,Standard - S7,4000,1838.71729,Premium - P15
132,17.59628808,39811345.15,797.6645111,49.23855007,400,281.540619,Standard - S6,800,588.714233,Standard - S7,1750,1581.96069,Premium - P11
133,17.57887179,44747600.15,806.5999798,32.9836423,400,281.261963,Standard - S6,800,583.523132,Standard - S7,4000,1778.10986,Premium - P15
134,17.88247029,41619353.27,813.4886024,51.21235754,400,286.119537,Standard - S6,800,601.336853,Standard - S7,1750,1653.80444,Premium - P11
135,17.77319332,40357148.72,813.4062222,72.85724444,400,284.3711,Standard - S6,800,616.629456,Standard - S7,1750,1603.64893,Premium - P11
136,17.78811541,46431467.16,940.3542284,73.01806181,400,284.609833,Standard - S6,800,706.7775,Standard - S7,4000,1845.02075,Premium - P15
137,18.45782911,41408241.92,817.944097,40.99719802,400,295.325256,Standard - S6,800,597.252,Standard - S7,1750,1645.41565,Premium - P11
138,17.97925219,49233607.89,891.0393415,0,400,287.66803,Standard - S6,800,620.0166,Standard - S7,4000,1956.3678,Premium - P15
139,17.57778383,50729314.33,942.0921553,1.000097829,400,281.244537,Standard - S6,800,656.933533,Standard - S7,4000,2015.80188,Premium - P15
140,19.04275951,48799418.23,972.9322574,178.9875376,400,304.684143,Standard - S6,1600,805.038147,Standard - S9,4000,1939.11475,Premium - P15
141,17.3834131,42775111.54,854.0423184,239.0118432,400,278.1346,Standard - S6,800,763.289551,Standard - S7,1750,1699.73022,Premium - P11
142,17.87059722,50623156.65,916.9847237,123.9979343,400,285.929565,Standard - S6,800,726.3594,Standard - S7,4000,2011.5835,Premium - P15
143,18.07668601,48220621.13,1007.277094,66.95488017,400,289.227,Standard - S6,800,749.940369,Standard - S7,4000,1916.11523,Premium - P15
144,14.25774141,37049714.42,754.9658159,62.99714755,400,228.123856,Standard - S6,800,568.189331,Standard - S7,1750,1472.22339,Premium - P11
145,18.5542339,34259293.24,659.9081048,46.99345595,400,296.867737,Standard - S6,800,489.4224,Standard - S7,1750,1361.34192,Premium - P11
146,18.84782042,36034599.77,813.1510957,33.00613303,400,301.565125,Standard - S6,800,588.1853,Standard - S7,1750,1431.88635,Premium - P11
147,19.22948088,28001197.3,1684.688061,154.5856374,400,307.6717,Standard - S6,1600,1292.52319,Standard - S9,1750,1112.6676,Premium - P11
148,21.24910707,50736271.39,3090.573441,91.56525327,400,339.985718,Standard - S6,3000,2244.90967,Standard - S12,4000,2016.07825,Premium - P15
149,12.50059532,51287410.64,1089.652412,20.7790315,400,200.0095,Standard - S6,800,775.6139,Standard - S7,4000,2037.97864,Premium - P15
150,16.40595742,34191943.41,1223.039183,93.00297954,400,262.495331,Standard - S6,1600,921.437,Standard - S9,1750,1358.66577,Premium - P11
151,17.67529428,44843265.79,1067.981752,169.9970954,400,282.804718,Standard - S6,1600,866.073,Standard - S9,4000,1781.91125,Premium - P15
152,15.86530883,50200644.08,1024.944835,75.81244214,400,253.844925,Standard - S6,800,768.752747,Standard - S7,4000,1994.79431,Premium - P15
153,18.17311598,41932929.16,958.9225093,104.3591232,400,290.769867,Standard - S6,800,742.1742,Standard - S7,1750,1666.26489,Premium - P11
154,16.53744745,46569829.89,1131.211612,212.6559688,400,264.599152,Standard - S6,1600,941.171448,Standard - S9,4000,1850.51868,Premium - P15
155,17.96864336,27143811.82,895.0718799,210.0168657,400,287.4983,Standard - S6,800,771.824646,Standard - S7,1750,1078.59814,Premium - P11
156,16.44156685,31549159.36,891.0805655,147.6929114,400,263.065063,Standard - S6,800,724.792542,Standard - S7,1750,1253.651,Premium - P11
157,17.57809703,44789134.06,1033.950092,163.9920842,400,281.249542,Standard - S6,1600,837.678162,Standard - S9,4000,1779.76038,Premium - P15
158,14.20323337,49299665.54,940.2218384,47.49574235,400,227.25174,Standard - S6,800,688.5827,Standard - S7,4000,1958.99268,Premium - P15
159,14.55074582,45366963.12,924.4940296,72.03849581,400,232.81192,Standard - S6,800,694.8344,Standard - S7,4000,1802.72119,Premium - P15
160,17.08991462,24999005.82,802.937234,115.9909329,400,273.438629,Standard - S6,800,639.7959,Standard - S7,1000,993.3712,Premium - P6
161,17.57784152,32637619.84,912.9477433,93.99461979,400,281.245453,Standard - S6,800,702.2173,Standard - S7,1750,1296.90247,Premium - P11
162,13.08566926,20524580.84,483.0249659,43.00222263,400,209.370712,Standard - S6,400,361.14267,Standard - S6,3000,2487.26855,Standard - S12
163,18.749935,38769023.66,1528.813228,98.98790684,400,299.998962,Standard - S6,1600,1142.54272,Standard - S9,1750,1540.5426,Premium - P11
164,17.1871439,41544568.05,1232.132632,101.0108733,400,274.9943,Standard - S6,1600,933.5657,Standard - S9,1750,1650.83276,Premium - P11
165,17.13906724,32431534.96,1092.151142,125.0922012,400,274.225067,Standard - S6,1600,851.3669,Standard - S9,1750,1288.71338,Premium - P11
166,15.62928603,34719970.04,1065.665849,80.65588258,400,250.068573,Standard - S6,1600,801.067932,Standard - S9,1750,1379.64771,Premium - P11
167,13.84133532,50824067.19,945.6318138,16.72813822,400,221.461365,Standard - S6,800,670.5986,Standard - S7,4000,2019.567,Premium - P15
168,10.84003615,49174835.91,873.5966931,7.00478448,200,173.440582,Standard - S4,800,612.613831,Standard - S7,4000,1954.03235,Premium - P15
169,13.4603321,33293320.58,620.1954545,24.61093073,400,215.365311,Standard - S6,800,445.38327,Standard - S7,1750,1322.95764,Premium - P11
170,18.26136852,45587130.66,968.9822018,79.99853059,400,292.1819,Standard - S6,800,732.031738,Standard - S7,4000,1811.46985,Premium - P15
171,19.23158835,48997069.67,1078.238976,87.63768844,400,307.7054,Standard - S6,1600,814.9367,Standard - S9,4000,1946.96851,Premium - P15
172,17.01770657,865601.4285,324.9313749,107.3258178,400,272.2833,Standard - S6,400,294.63916,Standard - S6,50,38.51581,Standard - S2
173,16.50383485,269827.2273,277.0033131,86.00102862,400,264.061371,Standard - S6,400,245.523666,Standard - S6,10,-35.6947479,Standard - S0
174,16.92241435,241949.9445,421.3646494,110.2636466,400,270.758636,Standard - S6,400,365.1151,Standard - S6,5,4.61482859,Basic
175,18.06612142,245728.1955,398.9483642,194.9747645,400,289.057953,Standard - S6,800,409.295837,Standard - S7,5,4.68689346,Basic
176,17.38234734,306694.0264,373.0073294,387.0076045,400,278.117554,Standard - S6,800,527.091431,Standard - S7,10,-31.102562,Standard - S0
177,18.16393088,245721.1639,313.9503803,218.9653926,400,290.6229,Standard - S6,400,366.028229,Standard - S6,5,4.686759,Basic
178,16.11342261,2436491.494,383.0621791,68.01103963,400,257.814758,Standard - S6,400,307.983856,Standard - S6,400,234.1883,Standard - S6
179,14.42221992,359944.5913,108.3079073,95.50788186,400,230.755524,Standard - S6,200,132.623978,Standard - S4,10,-24.46959,Standard - S0
180,14.25824728,396275.1352,115.9962343,94.996916,400,228.131958,Standard - S6,200,137.7143,Standard - S4,10,-19.9442024,Standard - S0
181,17.11640226,274706.2593,96.47797239,86.63328133,400,273.862427,Standard - S6,200,117.939896,Standard - S4,10,-35.08701,Standard - S0
182,15.76668122,120932.3035,154.511488,58.0648267,400,252.2669,Standard - S6,200,138.837112,Standard - S4,5,2.30660057,Basic
183,18.65209596,255173.3992,187.144773,81.06270918,400,298.433533,Standard - S6,200,178.29184,Standard - S4,5,4.86704636,Basic
184,18.85050835,184294.8872,221.9697534,87.98801037,400,301.608124,Standard - S6,400,207.901962,Standard - S6,5,3.515146,Basic
185,12.40122659,220730.9621,351.3883841,58.07259008,200,198.419632,Standard - S4,400,278.471649,Standard - S6,5,4.210109,Basic
186,13.37905726,181805.975,630.1593542,89.02251195,400,214.064911,Standard - S6,800,498.131836,Standard - S7,5,3.46767354,Basic
187,11.52347539,317455.3233,245.0118265,104.0050202,200,184.37561,Standard - S4,400,235.603439,Standard - S6,10,-29.76212,Standard - S0
188,14.13420941,1627225.604,312.1070252,85.6571331,400,226.147369,Standard - S6,400,270.176,Standard - S6,200,133.384888,Standard - S4
189,12.69546842,366671.2536,634.1370646,138.0298342,400,203.127472,Standard - S6,800,535.7099,Standard - S7,10,-23.6317062,Standard - S0
190,12.8831498,255593.2723,386.9581946,117.1705475,400,206.1304,Standard - S6,400,345.611877,Standard - S6,5,4.87505436,Basic
191,12.60325339,353262.1938,235.988105,130.9933973,400,201.652054,Standard - S6,400,248.34433,Standard - S6,10,-25.30196,Standard - S0
192,12.20537132,271729.1635,227.4518668,108.3104127,200,195.285934,Standard - S4,400,226.203033,Standard - S6,10,-35.45784,Standard - S0
193,14.0417274,354358.8366,333.7472374,134.8772021,400,224.667648,Standard - S6,400,320.431519,Standard - S6,10,-25.16536,Standard - S0
194,12.88428205,362653.6018,458.4325586,144.6128457,400,206.1485,Standard - S6,800,415.765564,Standard - S7,10,-24.1321526,Standard - S0
195,11.92744794,453265.8927,354.3081201,183.4636567,200,190.839172,Standard - S4,400,369.472168,Standard - S6,10,-12.8453426,Standard - S0
196,13.08575748,552456.4956,436.0067048,235.0036138,400,209.372116,Standard - S6,800,463.967621,Standard - S7,10,-0.490009546,Standard - S0
197,12.69489967,614198.7686,505.8342723,225.9259793,400,203.1184,Standard - S6,800,507.052673,Standard - S7,10,7.20070028,Standard - S0
198,13.57794479,1842366.451,376.0388722,186.0192294,400,217.2471,Standard - S6,400,386.696533,Standard - S6,200,160.183167,Standard - S4
199,12.7829557,569057.954,379.9967654,218.5473625,400,204.527313,Standard - S6,800,412.573151,Standard - S7,10,1.57789111,Standard - S0
200,13.57507561,430068.4264,852.9770454,286.9922767,400,217.2012,Standard - S6,800,796.5627,Standard - S7,10,-15.7348557,Standard - S0
201,13.28187437,430215.0717,420.131906,199.0624983,400,212.51,Standard - S6,800,427.218719,Standard - S7,10,-15.7165909,Standard - S0
202,12.4030046,483905.7905,711.7998994,294.3681465,200,198.448074,Standard - S4,800,701.668152,Standard - S7,10,-9.028792,Standard - S0
203,12.97963454,362978.343,453.9198571,819.2219547,400,207.674149,Standard - S6,1600,891.0112,Standard - S9,10,-24.0917015,Standard - S0
204,14.16104414,429994.7739,790.8432527,1122.777463,400,226.5767,Standard - S6,1600,1345.25159,Standard - S9,10,-15.74403,Standard - S0
